job_title,company_name,location,salary,job_type,experience_required,education_required,skills_required,job_description,posted_date,source
Maintenance Technician,ONCF,Casablanca,7800 MAD/month,Full-time,2-5 years,Diploma,"Safety Procedures, Technical Documentation, Hydraulics, Electrical Systems, Equipment Repair",Exciting opportunity for a Maintenance Technician in Casablanca.,2025-11-28,Generated
Staff UX/UI Designer,Sopra Steria,Tetouan,24500 MAD/month,Part-time,5-8 years,Bachelor's Degree,"Design Thinking, Figma, Prototyping, User Research, UI Design, Wireframing",Exciting opportunity for a Staff UX/UI Designer in Tetouan.,2025-12-19,Generated
Cloud Engineer,ONDA,Casablanca,13400 MAD/month,Internship,2-5 years,Master's Degree,"Kubernetes, GCP, Cloud Security, Azure, AWS",Seeking an experienced Cloud Engineer for innovative projects.,2025-11-23,Generated
Graphic Designer,Unilever Morocco,Tangier,12800 MAD/month,Contract,2-5 years,Bachelor's Degree,"Branding, Adobe Illustrator, Graphic Design, Typography",Exciting opportunity for a Graphic Designer in Tangier.,2025-11-20,Generated
IT Technician,Société Générale Morocco,Mohammedia,9900 MAD/month,Full-time,2-5 years,Diploma,"Windows, Installation, Technical Support, Maintenance, Network Support",Great opportunity for career growth as a IT Technician.,2025-12-29,Generated
Principal Business Development Manager,ONEE,Meknes,37000 MAD/month,Internship,10+ years,Master's Degree,"CRM, Communication, Market Analysis, Sales Strategy, Business Development",Join our dynamic team as a Principal Business Development Manager.,2025-11-04,Generated
Frontend Developer,Delphi Morocco,Tetouan,21500 MAD/month,Full-time,2-5 years,Master's Degree,"React, TypeScript, Responsive Design, Angular",Great opportunity for career growth as a Frontend Developer.,2025-11-23,Generated
Lab Technician,Huawei Morocco,Meknes,7100 MAD/month,Full-time,2-4 years,Bachelor's Degree,"Technical Documentation, Safety Procedures, Quality Control, Equipment Calibration, Sample Preparation",Join our dynamic team as a Lab Technician.,2025-11-28,Generated
Electrical Engineer,Wavestone Morocco,Rabat,18900 MAD/month,Full-time,2-4 years,Bachelor's Degree,"AutoCAD Electrical, Industrial Automation, Troubleshooting, Electrical Design",We are looking for a talented Electrical Engineer to join our growing team.,2025-12-15,Generated
DevOps Engineer,Tanger Med Port,Kenitra,28800 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Python, Git, Docker, CI/CD",We are looking for a talented DevOps Engineer to join our growing team.,2025-12-12,Generated
Help Desk Analyst,FedEx Morocco,Beni Mellal,11400 MAD/month,Contract,3-5 years,Bachelor's Degree,"Help Desk, Remote Support, Customer Service, Active Directory, Troubleshooting, Technical Support",Great opportunity for career growth as a Help Desk Analyst.,2025-12-23,Generated
Compliance Officer,EY Morocco,Khouribga,17200 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Reporting, Policy Development, Risk Management, Auditing, Legal Knowledge",Great opportunity for career growth as a Compliance Officer.,2025-12-06,Generated
Industrial Engineer,CTM Morocco,Safi,18700 MAD/month,Full-time,2-5 years,Bachelor's Degree,"AutoCAD, Quality Control, Supply Chain, Cost Analysis",Join our dynamic team as a Industrial Engineer.,2025-12-10,Generated
Principal Chemical Engineer,BMCE Bank,Kenitra,61600 MAD/month,Contract,8+ years,Master's Degree,"Quality Control, Chemical Processes, Process Simulation, Safety Management, Process Engineering",Seeking an experienced Principal Chemical Engineer for innovative projects.,2025-11-02,Generated
HR Manager,Matis Aerospace,Safi,12400 MAD/month,Internship,8+ years,Bachelor's Degree,"Employee Relations, HR Management, Recruitment, Conflict Resolution, Labor Law, Communication",Seeking an experienced HR Manager for innovative projects.,2025-11-13,Generated
HR Manager,Aptiv Morocco,Khouribga,28800 MAD/month,Contract,5+ years,Bachelor's Degree,"HR Management, Training & Development, Employee Relations, Compensation & Benefits",Exciting opportunity for a HR Manager in Khouribga.,2025-12-21,Generated
Test Engineer,Boeing Morocco,Fes,14600 MAD/month,Full-time,2-4 years,Bachelor's Degree,"Test Cases, API Testing, QA, Test Automation, Testing, Agile",Join our dynamic team as a Test Engineer.,2025-12-29,Generated
Staff Help Desk Analyst,Afriquia,Kenitra,34000 MAD/month,Full-time,8+ years,Master's Degree,"Remote Support, Documentation, Windows, Help Desk, Active Directory, Technical Support",We are looking for a talented Staff Help Desk Analyst to join our growing team.,2025-11-25,Generated
Principal Software Engineer,Boeing Morocco,Tetouan,63300 MAD/month,Full-time,5-8 years,Master's Degree,"Python, SQL, JavaScript, Git",Exciting opportunity for a Principal Software Engineer in Tetouan.,2025-11-16,Generated
Electrical Engineer,Airbus Morocco,Kenitra,26700 MAD/month,Contract,2-4 years,Master's Degree,"PLC, Electrical Safety, Electrical Design, Troubleshooting, Circuit Design",Join our dynamic team as a Electrical Engineer.,2025-11-22,Generated
Senior Business Development Manager,Nokia Morocco,Meknes,51500 MAD/month,Full-time,5+ years,Master's Degree,"Negotiation, Networking, CRM, Lead Generation",We are looking for a talented Senior Business Development Manager to join our growing team.,2025-11-12,Generated
Electrical Engineer,Centrale Danone,Khouribga,14600 MAD/month,Full-time,2-4 years,Bachelor's Degree,"Electrical Safety, Industrial Automation, AutoCAD Electrical, PLC, Electrical Design, Circuit Design",Great opportunity for career growth as a Electrical Engineer.,2025-12-07,Generated
Mobile Developer,ONEE,Marrakech,16600 MAD/month,Full-time,2-5 years,Bachelor's Degree,"iOS, Swift, Firebase, Mobile UI",Great opportunity for career growth as a Mobile Developer.,2025-12-01,Generated
Junior Training Specialist,CDG Capital,Fes,6000 MAD/month,Full-time,0-2 years,Master's Degree,"Evaluation, Training & Development, Communication, Instructional Design",Seeking an experienced Junior Training Specialist for innovative projects.,2025-12-06,Generated
Junior Financial Analyst,Delphi Morocco,Marrakech,4400 MAD/month,Part-time,0-2 years,Master's Degree,"SAP, Accounting, Budgeting, SQL",Join our dynamic team as a Junior Financial Analyst.,2025-12-07,Generated
Product Designer,SAP Morocco,El Jadida,18300 MAD/month,Full-time,2-4 years,Bachelor's Degree,"UX Design, Figma, Product Design, Usability Testing",Great opportunity for career growth as a Product Designer.,2025-11-04,Generated
Data Scientist,Sumitomo Morocco,Rabat,37300 MAD/month,Full-time,2-4 years,PhD,"Python, Tableau, Statistics, SQL, Machine Learning",We are looking for a talented Data Scientist to join our growing team.,2025-11-22,Generated
Frontend Developer,Latecoere Morocco,Mohammedia,21700 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Vue.js, JavaScript, Git, UI/UX",Great opportunity for career growth as a Frontend Developer.,2025-12-25,Generated
Mobile Developer,CTM Morocco,Meknes,20100 MAD/month,Full-time,2-5 years,Bachelor's Degree,"iOS, Swift, React Native, Android, Flutter, Git",Join our dynamic team as a Mobile Developer.,2025-11-19,Generated
Frontend Developer,KPMG Morocco,Marrakech,19400 MAD/month,Full-time,3-5 years,Bachelor's Degree,"UI/UX, React, Responsive Design, TypeScript, HTML",Exciting opportunity for a Frontend Developer in Marrakech.,2025-12-08,Generated
Junior Industrial Engineer,Oracle Morocco,Meknes,8600 MAD/month,Full-time,1-3 years,Bachelor's Degree,"Project Management, Cost Analysis, Quality Control, Production Planning, Supply Chain",We are looking for a talented Junior Industrial Engineer to join our growing team.,2025-11-04,Generated
Staff Product Manager,Collins Aerospace,El Jadida,24000 MAD/month,Internship,5-8 years,Master's Degree,"Roadmap Planning, Prioritization, Communication, A/B Testing, Stakeholder Management, User Research",Seeking an experienced Staff Product Manager for innovative projects.,2025-10-31,Generated
Lead Project Manager,Crédit Agricole Morocco,Tangier,46200 MAD/month,Part-time,5-8 years,Master's Degree,"Agile, Leadership, Risk Management, Stakeholder Management, Budgeting",We are looking for a talented Lead Project Manager to join our growing team.,2025-11-12,Generated
Staff Financial Analyst,Wafa Assurance,Tangier,50100 MAD/month,Full-time,8+ years,Bachelor's Degree,"Budgeting, SAP, Financial Analysis, Forecasting",Great opportunity for career growth as a Staff Financial Analyst.,2025-12-09,Generated
Senior Training Specialist,SMIT,Oujda,31200 MAD/month,Full-time,8+ years,Master's Degree,"Presentation Skills, Evaluation, Communication, Needs Assessment, Curriculum Development, Training & Development",Join our dynamic team as a Senior Training Specialist.,2025-12-21,Generated
Junior Data Analyst,Atlanta Assurances,Khouribga,6000 MAD/month,Contract,1-3 years,Bachelor's Degree,"Statistics, Power BI, Data Visualization, Business Intelligence, Tableau, SQL",Exciting opportunity for a Junior Data Analyst in Khouribga.,2025-12-29,Generated
Lead Scrum Master,Siemens Morocco,Marrakech,44900 MAD/month,Full-time,8+ years,Master's Degree,"Coaching, Retrospectives, Scrum, Agile, Conflict Resolution",We are looking for a talented Lead Scrum Master to join our growing team.,2025-11-20,Generated
Junior IT Technician,Wafa Assurance,Safi,9400 MAD/month,Full-time,0-2 years,Bachelor's Degree,"Windows, Technical Support, Hardware, Maintenance",Great opportunity for career growth as a Junior IT Technician.,2025-11-02,Generated
Junior Business Development Manager,FedEx Morocco,Kenitra,17100 MAD/month,Full-time,0-1 years,Master's Degree,"CRM, Client Relations, Lead Generation, Negotiation, Business Development",Great opportunity for career growth as a Junior Business Development Manager.,2025-12-12,Generated
IT Support Specialist,Continental Morocco,Meknes,11800 MAD/month,Contract,2-5 years,Bachelor's Degree,"Technical Support, Active Directory, Customer Service, Documentation, Troubleshooting",Great opportunity for career growth as a IT Support Specialist.,2025-12-02,Generated
Junior Chemical Engineer,Atlanta Assurances,Beni Mellal,12700 MAD/month,Full-time,0-1 years,Bachelor's Degree,"Process Engineering, Safety Management, Plant Design, Materials Science, Process Simulation, Troubleshooting",Great opportunity for career growth as a Junior Chemical Engineer.,2025-12-27,Generated
Lead Operations Manager,Safran Morocco,Rabat,15300 MAD/month,Contract,8+ years,Bachelor's Degree,"Budgeting, Leadership, Process Optimization, Continuous Improvement, Operations Management",We are looking for a talented Lead Operations Manager to join our growing team.,2025-11-27,Generated
Staff Backend Developer,Transcom Morocco,Safi,51200 MAD/month,Contract,5-8 years,Bachelor's Degree,"PostgreSQL, Docker, Redis, SQL, REST API, Microservices",Join our dynamic team as a Staff Backend Developer.,2025-12-28,Generated
Operations Manager,Atlanta Assurances,Casablanca,9000 MAD/month,Part-time,5+ years,Bachelor's Degree,"Team Management, Process Optimization, KPI Management, Strategic Planning, Leadership, Operations Management",Great opportunity for career growth as a Operations Manager.,2025-11-07,Generated
Test Engineer,SAP Morocco,Kenitra,14800 MAD/month,Full-time,2-4 years,Bachelor's Degree,"Selenium, Testing, Test Cases, JIRA",Great opportunity for career growth as a Test Engineer.,2025-11-12,Generated
Training Specialist,BMCE Bank,Meknes,18400 MAD/month,Full-time,3-5 years,Master's Degree,"Instructional Design, Facilitation, Needs Assessment, Training & Development, E-Learning, Communication",Seeking an experienced Training Specialist for innovative projects.,2025-12-17,Generated
Database Administrator,CGI Morocco,Beni Mellal,11100 MAD/month,Part-time,2-4 years,Bachelor's Degree,"Security, Database Design, MySQL, SQL",Join our dynamic team as a Database Administrator.,2025-11-28,Generated
Help Desk Analyst,DHL Morocco,Tetouan,12100 MAD/month,Full-time,2-4 years,Master's Degree,"Documentation, Technical Support, Customer Service, Troubleshooting",Great opportunity for career growth as a Help Desk Analyst.,2025-12-19,Generated
Principal Full Stack Developer,BNP Paribas Morocco,Safi,68600 MAD/month,Contract,5-8 years,Master's Degree,"Node.js, React, JavaScript, REST API, Python",Exciting opportunity for a Principal Full Stack Developer in Safi.,2025-12-21,Generated
Junior Scrum Master,Renault Morocco,Meknes,4300 MAD/month,Part-time,0-2 years,Bachelor's Degree,"Sprint Planning, Facilitation, Team Leadership, Scrum, Conflict Resolution, Retrospectives",We are looking for a talented Junior Scrum Master to join our growing team.,2025-11-26,Generated
Software Engineer,Sitel Morocco,Tetouan,12800 MAD/month,Part-time,3-5 years,Bachelor's Degree,"Docker, Git, Design Patterns, Agile",Exciting opportunity for a Software Engineer in Tetouan.,2025-11-07,Generated
Staff Training Specialist,Transcom Morocco,Marrakech,13200 MAD/month,Part-time,8+ years,Bachelor's Degree,"Facilitation, Instructional Design, Curriculum Development, Training & Development, Communication, Presentation Skills",Seeking an experienced Staff Training Specialist for innovative projects.,2025-11-03,Generated
Junior Data Scientist,Valeo Morocco,Meknes,12200 MAD/month,Full-time,0-2 years,Master's Degree,"Machine Learning, NumPy, Tableau, Python, Data Analysis, Pandas",We are looking for a talented Junior Data Scientist to join our growing team.,2025-12-15,Generated
Systems Engineer,Collins Aerospace,Oujda,14600 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Monitoring, Automation, Scripting, Security, Windows Server, Docker",Seeking an experienced Systems Engineer for innovative projects.,2025-11-08,Generated
Lead Data Engineer,CIH Bank,Tangier,23300 MAD/month,Full-time,5+ years,Master's Degree,"Git, PostgreSQL, SQL, Airflow, AWS",Join our dynamic team as a Lead Data Engineer.,2025-11-05,Generated
Graphic Designer,IBM Morocco,Casablanca,14300 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Layout Design, Visual Communication, Adobe Photoshop, Branding, Adobe Illustrator, Typography",Join our dynamic team as a Graphic Designer.,2025-11-14,Generated
Staff Quality Engineer,Marsa Maroc,Marrakech,17100 MAD/month,Full-time,10+ years,Bachelor's Degree,"Six Sigma, Testing, Statistical Analysis, ISO Standards",Exciting opportunity for a Staff Quality Engineer in Marrakech.,2025-11-09,Generated
Business Analyst,ONDA,Safi,5400 MAD/month,Internship,3-5 years,Bachelor's Degree,"Power BI, Documentation, Requirements Analysis, Agile, Excel",Exciting opportunity for a Business Analyst in Safi.,2025-12-13,Generated
Lead Mechanical Engineer,Matis Aerospace,Meknes,15000 MAD/month,Contract,5+ years,Master's Degree,"CAD, SolidWorks, Materials Science, AutoCAD, Manufacturing",Seeking an experienced Lead Mechanical Engineer for innovative projects.,2025-11-14,Generated
DevOps Engineer,SMIT,Oujda,21500 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Python, Ansible, Docker, Git, AWS",We are looking for a talented DevOps Engineer to join our growing team.,2025-11-11,Generated
Junior Network Engineer,PSA Morocco,Tetouan,5100 MAD/month,Part-time,1-3 years,Bachelor's Degree,"Cisco, Troubleshooting, Firewall, CCNA, Switching",Exciting opportunity for a Junior Network Engineer in Tetouan.,2025-12-13,Generated
Financial Analyst,GE Aviation Morocco,El Jadida,15500 MAD/month,Full-time,3-5 years,Master's Degree,"SQL, Budgeting, Power BI, Forecasting, SAP",Join our dynamic team as a Financial Analyst.,2025-11-29,Generated
Staff Mechanical Engineer,Collins Aerospace,Beni Mellal,8400 MAD/month,Internship,10+ years,Bachelor's Degree,"CAD, Materials Science, Thermodynamics, Manufacturing",Join our dynamic team as a Staff Mechanical Engineer.,2025-11-15,Generated
QA Engineer,Marsa Maroc,El Jadida,13300 MAD/month,Full-time,2-4 years,Bachelor's Degree,"Regression Testing, Selenium, JIRA, Test Automation, Agile",Great opportunity for career growth as a QA Engineer.,2025-11-24,Generated
Data Scientist,Tanger Med Port,Oujda,26500 MAD/month,Full-time,2-5 years,Master's Degree,"NumPy, Python, TensorFlow, Tableau",Seeking an experienced Data Scientist for innovative projects.,2025-12-25,Generated
Principal Electrical Engineer,Nexans Morocco,Fes,63100 MAD/month,Contract,8+ years,Bachelor's Degree,"Troubleshooting, PLC, Industrial Automation, Electrical Design, AutoCAD Electrical",Exciting opportunity for a Principal Electrical Engineer in Fes.,2025-11-04,Generated
QA Engineer,SMIT,Tetouan,12300 MAD/month,Part-time,3-5 years,Master's Degree,"Bug Tracking, JIRA, Agile, Regression Testing, Test Planning",We are looking for a talented QA Engineer to join our growing team.,2025-11-20,Generated
Senior Account Manager,Latecoere Morocco,Meknes,17200 MAD/month,Contract,5+ years,Master's Degree,"Upselling, Account Management, Sales, Strategic Planning",Join our dynamic team as a Senior Account Manager.,2025-12-06,Generated
Staff Data Analyst,Safran Morocco,Meknes,16200 MAD/month,Internship,5-8 years,Bachelor's Degree,"Power BI, Business Intelligence, SQL, R",Seeking an experienced Staff Data Analyst for innovative projects.,2025-12-07,Generated
Civil Engineer,Eaton Aerospace,Oujda,11800 MAD/month,Contract,3-5 years,Bachelor's Degree,"Construction Management, Building Codes, Civil 3D, AutoCAD, Surveying, Revit",Join our dynamic team as a Civil Engineer.,2025-11-02,Generated
IT Support Specialist,Safran Morocco,Kenitra,9200 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Windows, Troubleshooting, Hardware, Active Directory",Exciting opportunity for a IT Support Specialist in Kenitra.,2025-11-30,Generated
Quality Engineer,ONEE,Kenitra,12700 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Statistical Analysis, Testing, ISO Standards, Documentation, Six Sigma",Great opportunity for career growth as a Quality Engineer.,2025-12-09,Generated
Cloud Engineer,Fujikura Morocco,Oujda,30100 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Terraform, Cloud Security, Linux, Docker, Azure, AWS",Exciting opportunity for a Cloud Engineer in Oujda.,2025-11-25,Generated
Lead Chemical Engineer,Hexcel Morocco,Meknes,14300 MAD/month,Full-time,8+ years,Bachelor's Degree,"Process Engineering, Materials Science, Chemical Processes, Troubleshooting",Great opportunity for career growth as a Lead Chemical Engineer.,2025-12-08,Generated
Account Manager,Crédit Agricole Morocco,El Jadida,14000 MAD/month,Full-time,8+ years,Master's Degree,"Communication, Sales, Negotiation, Upselling, CRM, Account Management",Seeking an experienced Account Manager for innovative projects.,2025-12-26,Generated
Lead Software Engineer,ZTE Morocco,Kenitra,12400 MAD/month,Full-time,5-8 years,Bachelor's Degree,"SQL, Docker, REST API, Java, C++",Seeking an experienced Lead Software Engineer for innovative projects.,2025-11-01,Generated
Staff Data Engineer,Attijariwafa Bank,Oujda,12300 MAD/month,Full-time,5-8 years,Bachelor's Degree,"Data Modeling, SQL, AWS, Hadoop, Airflow, ETL",We are looking for a talented Staff Data Engineer to join our growing team.,2025-11-04,Generated
Data Scientist,Altran Morocco,Safi,30800 MAD/month,Full-time,2-5 years,Master's Degree,"Statistics, Tableau, R, Data Analysis, TensorFlow, Pandas",Join our dynamic team as a Data Scientist.,2025-11-28,Generated
Business Development Manager,ADM,Tetouan,17300 MAD/month,Internship,10+ years,Master's Degree,"Sales Strategy, Contract Management, Client Relations, Lead Generation, Business Development, Communication",Great opportunity for career growth as a Business Development Manager.,2025-11-16,Generated
Recruiter,ADM,Kenitra,16900 MAD/month,Contract,3-5 years,Bachelor's Degree,"LinkedIn, Communication, Negotiation, Employer Branding",Exciting opportunity for a Recruiter in Kenitra.,2025-12-07,Generated
Junior Automotive Engineer,Siemens Morocco,El Jadida,9500 MAD/month,Full-time,0-2 years,Bachelor's Degree,"Quality Control, Supply Chain, Testing, Automotive Design",Great opportunity for career growth as a Junior Automotive Engineer.,2025-11-03,Generated
Principal Account Manager,Amendis,Fes,15200 MAD/month,Contract,5-8 years,Master's Degree,"Communication, Negotiation, CRM, Strategic Planning, Problem Solving, Sales",Great opportunity for career growth as a Principal Account Manager.,2025-12-13,Generated
Compliance Officer,KPMG Morocco,Kenitra,6800 MAD/month,Internship,2-5 years,Bachelor's Degree,"Legal Knowledge, Compliance, Documentation, Auditing, Ethics",Join our dynamic team as a Compliance Officer.,2025-11-28,Generated
Sales Engineer,Teleperformance Morocco,Fes,14000 MAD/month,Contract,2-5 years,Bachelor's Degree,"Presentations, Technical Documentation, Negotiation, Technical Sales",Seeking an experienced Sales Engineer for innovative projects.,2025-12-26,Generated
Staff Web Developer,PSA Morocco,Tetouan,16700 MAD/month,Part-time,10+ years,Master's Degree,"jQuery, MySQL, PHP, CSS",Seeking an experienced Staff Web Developer for innovative projects.,2025-12-25,Generated
Technical Manager,Afriquia,Safi,6600 MAD/month,Internship,5+ years,Master's Degree,"Agile, System Architecture, Technical Strategy, Team Management",We are looking for a talented Technical Manager to join our growing team.,2025-11-27,Generated
Senior QA Engineer,OCP Group,Tetouan,31000 MAD/month,Full-time,5+ years,Master's Degree,"Bug Tracking, Testing, Regression Testing, Agile",Join our dynamic team as a Senior QA Engineer.,2025-11-16,Generated
Junior Product Manager,Transcom Morocco,Oujda,13800 MAD/month,Full-time,0-2 years,Master's Degree,"Prioritization, Analytics, Product Strategy, Roadmap Planning, Stakeholder Management, A/B Testing",Great opportunity for career growth as a Junior Product Manager.,2025-12-10,Generated
Principal Cloud Engineer,ZTE Morocco,El Jadida,67600 MAD/month,Full-time,5-8 years,Master's Degree,"Python, Docker, AWS, Linux, Terraform",Exciting opportunity for a Principal Cloud Engineer in El Jadida.,2025-11-16,Generated
Senior UX/UI Designer,Société Générale Morocco,Meknes,24700 MAD/month,Part-time,8+ years,Master's Degree,"Design Thinking, Prototyping, Figma, User Research, Wireframing",Join our dynamic team as a Senior UX/UI Designer.,2025-12-26,Generated
Staff Graphic Designer,Société Générale Morocco,Kenitra,12700 MAD/month,Internship,8+ years,Master's Degree,"Visual Communication, Graphic Design, Adobe Illustrator, Branding, InDesign",Exciting opportunity for a Staff Graphic Designer in Kenitra.,2025-11-07,Generated
Junior Frontend Developer,Marjane,Mohammedia,6600 MAD/month,Internship,0-2 years,Master's Degree,"JavaScript, UI/UX, React, HTML, Responsive Design",We are looking for a talented Junior Frontend Developer to join our growing team.,2025-12-06,Generated
Staff Systems Analyst,Ericsson Morocco,Mohammedia,20800 MAD/month,Full-time,10+ years,Bachelor's Degree,"UML, SQL, Systems Design, Requirements Analysis",Great opportunity for career growth as a Staff Systems Analyst.,2025-11-22,Generated
Junior DevOps Engineer,Eaton Aerospace,Meknes,12600 MAD/month,Full-time,0-1 years,Bachelor's Degree,"Python, Jenkins, Docker, Git, Ansible",Seeking an experienced Junior DevOps Engineer for innovative projects.,2025-11-10,Generated
Senior Business Development Manager,Cosumar,Kenitra,52800 MAD/month,Full-time,8+ years,Master's Degree,"Negotiation, Client Relations, Market Analysis, Communication, Contract Management",Join our dynamic team as a Senior Business Development Manager.,2025-12-11,Generated
Full Stack Developer,BMCE Bank,Beni Mellal,17100 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Git, SQL, Python, REST API, React",Seeking an experienced Full Stack Developer for innovative projects.,2025-11-14,Generated
Software Engineer,HP Morocco,Agadir,13600 MAD/month,Internship,3-5 years,Bachelor's Degree,"SQL, REST API, JavaScript, Docker, Design Patterns, Git",Seeking an experienced Software Engineer for innovative projects.,2025-12-29,Generated
Backend Developer,CIH Bank,Marrakech,15200 MAD/month,Part-time,2-4 years,Master's Degree,"PostgreSQL, Docker, Node.js, SQL, Git",Great opportunity for career growth as a Backend Developer.,2025-11-22,Generated
Mechanical Engineer,RMA Watanya,Fes,18400 MAD/month,Full-time,2-5 years,Bachelor's Degree,"GD&T, ANSYS, Thermodynamics, SolidWorks, AutoCAD",Seeking an experienced Mechanical Engineer for innovative projects.,2025-12-06,Generated
Lead Chemical Engineer,BDO Morocco,Fes,12600 MAD/month,Full-time,5+ years,Bachelor's Degree,"Plant Design, Process Engineering, Quality Control, Process Simulation",Join our dynamic team as a Lead Chemical Engineer.,2025-12-23,Generated
Senior Maintenance Technician,Lear Corporation,El Jadida,23000 MAD/month,Full-time,5-8 years,Master's Degree,"Hydraulics, Troubleshooting, Mechanical Systems, Electrical Systems, Preventive Maintenance, Equipment Repair",Join our dynamic team as a Senior Maintenance Technician.,2025-10-31,Generated
Sales Engineer,Bank Al-Maghrib,Fes,11500 MAD/month,Full-time,3-5 years,Bachelor's Degree,"Technical Sales, Negotiation, Communication, Presentations",We are looking for a talented Sales Engineer to join our growing team.,2025-11-27,Generated
Lead Maintenance Technician,Deloitte Morocco,Meknes,8200 MAD/month,Part-time,5-8 years,Master's Degree,"Hydraulics, Mechanical Systems, Equipment Repair, Troubleshooting, Preventive Maintenance",Exciting opportunity for a Lead Maintenance Technician in Meknes.,2025-11-28,Generated
Mechanical Engineer,Fujikura Morocco,Casablanca,21300 MAD/month,Full-time,2-4 years,Master's Degree,"CAD, SolidWorks, AutoCAD, Project Management, Mechanical Design, Thermodynamics",Exciting opportunity for a Mechanical Engineer in Casablanca.,2025-12-15,Generated
Senior Systems Engineer,Deloitte Morocco,Khouribga,14500 MAD/month,Contract,8+ years,Bachelor's Degree,"Linux, Windows Server, Automation, Networking",Join our dynamic team as a Senior Systems Engineer.,2025-12-12,Generated
Principal Recruiter,Alten Morocco,Agadir,18000 MAD/month,Contract,5-8 years,Bachelor's Degree,"Interviewing, Sourcing, Talent Acquisition, HR Policies",Join our dynamic team as a Principal Recruiter.,2025-12-12,Generated
Lead Electrical Engineer,Atlanta Assurances,Kenitra,23700 MAD/month,Full-time,5-8 years,Master's Degree,"Power Systems, AutoCAD Electrical, Electrical Safety, Industrial Automation, PLC",Exciting opportunity for a Lead Electrical Engineer in Kenitra.,2025-12-30,Generated
Junior Scrum Master,Deloitte Morocco,Meknes,10400 MAD/month,Full-time,1-3 years,Bachelor's Degree,"Sprint Planning, Scrum, JIRA, Conflict Resolution, Coaching, Team Leadership",Seeking an experienced Junior Scrum Master for innovative projects.,2025-12-09,Generated
