reference,type,transaction,price,surface,price_per_sqm,rooms,bathrooms,floor,city,neighborhood,condition,age,amenities,description,listing_date
MA-CAS-10437,Villa,Location vacances,10876360,562,19352,8,2,0,Casablanca,Ain Diab,À rénover,27,"Climatisation, Concierge, Terrasse",Villa moderne de 562m² à Casablanca,2025-10-09
MA-CAS-61910,Appartement,Vente,2290740,190,12056,1,2,0,Casablanca,Bourgogne,À rénover,14,"Cave, Cuisine équipée, Garage, Jardin, Parking, Piscine","Appartement de 190m² situé à Bourgogne, Casablanca",2025-11-11
MA-FÈS-49208,Appartement,Vente,2969105,201,14771,4,2,0,Fès,Saiss,Excellent état,3,"Chauffage, Jardin, Piscine, Sécurité, Terrasse, Vue mer","Appartement de 201m² situé à Saiss, Fès",2025-11-27
MA-MAR-16907,Appartement,Location,4135324,212,19506,4,1,9,Marrakech,Gueliz,Excellent état,6,"Balcon, Concierge, Cuisine équipée, Parking, Placard","Appartement de 212m² situé à Gueliz, Marrakech",2025-07-09
MA-RAB-76226,Appartement,Location,1872216,218,8588,1,1,5,Rabat,Hay Riad,Bon état,12,"Garage, Piscine, Sécurité","Appartement de 218m² situé à Hay Riad, Rabat",2025-09-10
MA-AGA-74187,Appartement,Location,1054708,125,8437,4,2,10,Agadir,Talborjt,Bon état,5,"Cuisine équipée, Piscine, Placard, Vue montagne","Appartement de 125m² situé à Talborjt, Agadir",2025-12-03
MA-CAS-75871,Villa,Location,4989338,204,24457,6,3,0,Casablanca,Racine,Excellent état,11,"Ascenseur, Chauffage, Sécurité",Magnifique villa en excellent état à Racine,2025-10-28
MA-KEN-95392,Appartement,Vente,2349318,197,11925,2,1,11,Kenitra,Maamoura,Bon état,11,"Cave, Chauffage, Climatisation, Jardin, Piscine, Sécurité",Beau appartement dans le quartier recherché de Maamoura,2025-07-16
MA-MEK-50845,Appartement,Vente,1987479,141,14095,3,1,9,Meknès,Hamria,À rénover,39,"Ascenseur, Balcon, Cave, Chauffage, Concierge, Terrasse","Appartement de 141m² situé à Hamria, Meknès",2025-10-29
MA-MAR-99067,Appartement,Vente,1231256,93,13239,2,2,3,Marrakech,Massira,Bon état,0,"Ascenseur, Parking, Sécurité, Terrasse, Vue mer",Appartement spacieux avec 2 chambres à Marrakech,2025-12-10
MA-CAS-18519,Studio,Vente,674941,49,13774,1,1,7,Casablanca,Maarif,Excellent état,37,"Climatisation, Concierge, Parking, Sécurité",Beau studio dans le quartier recherché de Maarif,2025-12-24
MA-RAB-27070,Riad,Vente,7537050,469,16070,6,2,0,Rabat,Kamra,Excellent état,20,"Climatisation, Piscine, Sécurité","Riad de 469m² situé à Kamra, Rabat",2025-12-04
MA-CAS-97671,Villa,Vente,9245837,358,25826,6,4,0,Casablanca,Ain Diab,Excellent état,18,"Climatisation, Cuisine équipée, Parking, Terrasse, Vue mer",Villa moderne de 358m² à Casablanca,2025-09-20
MA-FÈS-84554,Appartement,Vente,1677424,126,13312,5,1,5,Fès,Zouagha,Neuf,29,"Cave, Climatisation, Jardin, Parking, Piscine",Beau appartement dans le quartier recherché de Zouagha,2025-07-14
MA-KEN-19591,Appartement,Location,1061416,158,6717,3,1,2,Kenitra,Ouled Oujih,À rénover,3,"Cave, Chauffage, Climatisation, Cuisine équipée, Placard, Terrasse, Vue mer, Vue montagne",Appartement spacieux avec 3 chambres à Kenitra,2025-11-03
MA-RAB-73812,Appartement,Vente,2793096,193,14472,1,2,5,Rabat,Medina,Très bon état,30,"Cave, Climatisation, Concierge, Jardin, Parking, Placard, Vue mer",Appartement moderne de 193m² à Rabat,2025-10-22
MA-OUJ-54904,Villa,Vente,2461856,167,14741,8,3,0,Oujda,Medina,Bon état,10,"Ascenseur, Balcon, Climatisation, Cuisine équipée, Garage, Piscine, Terrasse, Vue montagne",Beau villa dans le quartier recherché de Medina,2025-10-27
MA-RAB-50260,Villa,Vente,6477893,342,18941,5,4,0,Rabat,Medina,Excellent état,3,"Cave, Climatisation, Garage, Jardin, Placard",Villa moderne de 342m² à Rabat,2025-09-14
MA-CAS-83180,Duplex,Vente,1872307,125,14978,3,2,3,Casablanca,Anfa,Bon état,7,"Balcon, Cave, Concierge, Garage, Parking, Sécurité, Vue mer","Duplex de 125m² situé à Anfa, Casablanca",2025-09-30
MA-OUJ-79970,Appartement,Vente,970486,99,9802,4,2,7,Oujda,Boukhaled,Neuf,14,"Cave, Chauffage, Climatisation, Garage, Vue mer",Appartement spacieux avec 4 chambres à Oujda,2025-12-12
MA-CAS-50672,Maison,Vente,1430713,111,12889,5,2,0,Casablanca,Bourgogne,Très bon état,20,"Cave, Cuisine équipée, Parking, Piscine, Sécurité, Vue mer, Vue montagne","Maison de 111m² situé à Bourgogne, Casablanca",2025-12-17
MA-FÈS-95629,Appartement,Vente,534007,40,13350,5,1,10,Fès,Ville Nouvelle,À rénover,23,"Cuisine équipée, Jardin, Parking, Piscine, Vue mer, Vue montagne",Appartement moderne de 40m² à Fès,2025-07-14
MA-TÉT-85889,Villa,Location,1925276,179,10755,6,2,0,Tétouan,Centre Ville,À rénover,25,"Chauffage, Cuisine équipée, Jardin, Sécurité, Vue mer",Villa moderne de 179m² à Tétouan,2025-11-16
MA-AGA-57844,Studio,Vente,508401,43,11823,1,1,12,Agadir,Sonaba,À rénover,10,"Ascenseur, Jardin, Parking, Piscine, Vue mer, Vue montagne",Magnifique studio en à rénover à Sonaba,2025-12-30
MA-CAS-90261,Villa,Vente,12521063,472,26527,5,4,0,Casablanca,Maarif,Excellent état,31,"Chauffage, Concierge, Garage, Jardin, Parking, Placard, Sécurité, Vue mer",Beau villa dans le quartier recherché de Maarif,2025-12-18
MA-CAS-18847,Villa,Vente,4932714,222,22219,3,3,0,Casablanca,Palmier,À rénover,17,"Ascenseur, Balcon, Chauffage, Cuisine équipée, Jardin, Piscine, Placard, Terrasse","Villa de 222m² situé à Palmier, Casablanca",2025-12-21
MA-TAN-91801,Appartement,Vente,2413498,187,12906,5,1,8,Tanger,Gzenaya,Neuf,35,"Ascenseur, Cave, Placard, Terrasse, Vue mer",Magnifique appartement en neuf à Gzenaya,2025-12-04
MA-AGA-37841,Duplex,Vente,3016304,165,18280,2,1,6,Agadir,Tikiouine,À rénover,17,"Cave, Chauffage, Concierge, Vue montagne",Duplex spacieux avec 2 chambres à Agadir,2025-11-02
MA-CAS-70982,Maison,Vente,4223391,272,15527,3,2,0,Casablanca,Racine,Bon état,7,"Ascenseur, Chauffage, Climatisation, Concierge, Cuisine équipée, Garage, Piscine",Maison spacieux avec 3 chambres à Casablanca,2025-12-30
MA-RAB-24707,Appartement,Vente,1233522,87,14178,3,2,2,Rabat,Souissi,Neuf,26,"Concierge, Terrasse, Vue montagne",Magnifique appartement en neuf à Souissi,2025-11-17
MA-CAS-66669,Appartement,Location vacances,1685353,127,13270,3,2,7,Casablanca,Hay Mohammadi,Neuf,27,"Balcon, Climatisation, Piscine, Placard, Vue montagne",Magnifique appartement en neuf à Hay Mohammadi,2025-12-18
MA-KEN-29855,Villa,Location,6950867,430,16164,6,2,0,Kenitra,Ouled Oujih,Neuf,32,"Ascenseur, Balcon, Climatisation, Garage, Jardin, Parking, Piscine, Vue montagne","Villa de 430m² situé à Ouled Oujih, Kenitra",2025-12-11
MA-FÈS-17341,Villa,Vente,3992771,357,11184,3,4,0,Fès,Atlas,Neuf,9,"Ascenseur, Chauffage, Concierge, Piscine, Vue mer",Beau villa dans le quartier recherché de Atlas,2025-09-30
MA-MAR-48632,Appartement,Vente,1928507,111,17373,2,1,7,Marrakech,Sidi Youssef Ben Ali,Excellent état,6,"Ascenseur, Cave, Chauffage, Concierge, Cuisine équipée, Jardin, Parking, Sécurité",Appartement spacieux avec 2 chambres à Marrakech,2025-10-16
MA-CAS-66676,Appartement,Vente,2778995,250,11115,2,2,4,Casablanca,Bourgogne,À rénover,12,"Climatisation, Garage, Parking, Piscine",Appartement moderne de 250m² à Casablanca,2025-10-20
MA-CAS-86355,Appartement,Location,1299213,96,13533,2,2,12,Casablanca,Maarif,Neuf,7,"Climatisation, Concierge, Garage, Parking, Piscine, Placard, Terrasse, Vue montagne",Beau appartement dans le quartier recherché de Maarif,2025-09-02
MA-CAS-75424,Appartement,Vente,2122579,159,13349,3,1,5,Casablanca,Racine,À rénover,38,"Cuisine équipée, Sécurité, Terrasse",Appartement spacieux avec 3 chambres à Casablanca,2025-09-24
MA-CAS-52826,Maison,Vente,1926143,136,14162,3,2,0,Casablanca,Racine,Excellent état,26,"Cave, Concierge, Parking","Maison de 136m² situé à Racine, Casablanca",2025-11-09
MA-CAS-94983,Appartement,Vente,2648181,244,10853,1,2,0,Casablanca,Sidi Maarouf,À rénover,12,"Balcon, Chauffage, Climatisation, Concierge, Garage, Jardin, Parking, Piscine",Magnifique appartement en à rénover à Sidi Maarouf,2025-11-10
MA-CAS-15059,Studio,Vente,529596,35,15131,1,1,3,Casablanca,Palmier,À rénover,7,"Ascenseur, Balcon, Garage, Terrasse",Magnifique studio en à rénover à Palmier,2025-08-24
MA-RAB-77106,Appartement,Vente,3736065,206,18136,3,2,10,Rabat,Yacoub El Mansour,Très bon état,12,"Ascenseur, Balcon, Garage, Placard, Vue montagne",Appartement moderne de 206m² à Rabat,2025-07-05
MA-AGA-29025,Maison,Vente,2512512,159,15801,2,1,0,Agadir,Secteur Touristique,Bon état,33,"Ascenseur, Concierge, Cuisine équipée, Jardin, Placard, Terrasse, Vue mer",Maison spacieux avec 2 chambres à Agadir,2025-08-10
MA-FÈS-67033,Appartement,Vente,1533919,118,12999,5,1,6,Fès,Saiss,Bon état,39,"Balcon, Chauffage, Cuisine équipée, Placard, Vue mer, Vue montagne",Appartement spacieux avec 5 chambres à Fès,2025-11-23
MA-AGA-42339,Appartement,Vente,2981510,170,17538,4,2,6,Agadir,Hay Dakhla,Excellent état,27,"Ascenseur, Cave, Chauffage, Climatisation, Garage, Jardin, Vue mer",Appartement spacieux avec 4 chambres à Agadir,2025-08-22
MA-FÈS-21540,Appartement,Vente,2812092,234,12017,1,2,12,Fès,Zouagha,Excellent état,38,"Climatisation, Concierge, Parking, Terrasse, Vue mer",Beau appartement dans le quartier recherché de Zouagha,2025-07-16
MA-FÈS-37018,Appartement,Vente,1099298,119,9237,5,1,9,Fès,Agdal,Excellent état,23,"Ascenseur, Cave, Jardin, Parking, Sécurité",Appartement moderne de 119m² à Fès,2025-11-15
MA-RAB-49584,Villa,Vente,8134861,414,19649,3,3,0,Rabat,Hassan,À rénover,31,"Ascenseur, Cave, Chauffage, Jardin, Parking, Placard, Terrasse, Vue mer","Villa de 414m² situé à Hassan, Rabat",2025-08-30
MA-MAR-26931,Appartement,Vente,3661705,187,19581,3,2,2,Marrakech,Targa,Bon état,36,"Climatisation, Cuisine équipée, Piscine, Placard, Terrasse, Vue mer, Vue montagne","Appartement de 187m² situé à Targa, Marrakech",2025-08-09
MA-CAS-90359,Villa,Vente,7442097,544,13680,7,3,0,Casablanca,Anfa,À rénover,0,"Cuisine équipée, Sécurité, Terrasse",Beau villa dans le quartier recherché de Anfa,2025-07-05
MA-RAB-79328,Appartement,Location,1832402,211,8684,2,2,12,Rabat,Yacoub El Mansour,À rénover,37,"Ascenseur, Cave, Concierge, Cuisine équipée, Jardin, Parking, Vue mer, Vue montagne",Magnifique appartement en à rénover à Yacoub El Mansour,2025-12-09
MA-CAS-22406,Villa,Vente,7075891,484,14619,8,2,0,Casablanca,Ain Diab,À rénover,36,"Cave, Concierge, Placard, Sécurité, Vue montagne",Villa moderne de 484m² à Casablanca,2025-11-23
MA-CAS-32276,Villa,Vente,4629418,323,14332,6,3,0,Casablanca,Gauthier,Bon état,30,"Balcon, Cuisine équipée, Garage, Jardin, Parking",Magnifique villa en bon état à Gauthier,2025-08-13
MA-CAS-97011,Villa,Location,4547743,305,14910,6,3,0,Casablanca,Ain Diab,À rénover,23,"Cave, Climatisation, Concierge, Jardin",Villa moderne de 305m² à Casablanca,2025-08-15
MA-TAN-52380,Villa,Vente,5785955,281,20590,7,2,0,Tanger,California,Très bon état,7,"Climatisation, Piscine, Vue mer",Villa spacieux avec 7 chambres à Tanger,2025-11-05
MA-RAB-89981,Maison,Location vacances,4760246,295,16136,6,2,0,Rabat,Hassan,Excellent état,16,"Balcon, Cave, Jardin, Placard",Beau maison dans le quartier recherché de Hassan,2025-07-12
MA-MEK-33157,Appartement,Location,2766575,211,13111,5,2,5,Meknès,Saada,À rénover,36,"Ascenseur, Cave, Concierge, Parking, Terrasse",Magnifique appartement en à rénover à Saada,2025-08-01
MA-SAL-84206,Villa,Vente,5915025,402,14713,3,2,0,Salé,Laayayda,Neuf,39,"Ascenseur, Concierge, Cuisine équipée, Jardin, Parking, Sécurité, Vue mer, Vue montagne",Magnifique villa en neuf à Laayayda,2025-09-29
MA-AGA-60455,Maison,Location,3435035,215,15976,3,2,0,Agadir,Founty,Très bon état,31,"Ascenseur, Cave, Jardin",Maison moderne de 215m² à Agadir,2025-08-03
MA-MAR-12563,Riad,Vente,14613836,447,32693,4,2,0,Marrakech,Menara,Neuf,32,"Ascenseur, Balcon, Cave, Parking, Piscine, Placard, Terrasse, Vue mer",Magnifique riad en neuf à Menara,2025-11-22
MA-RAB-85856,Appartement,Location,754778,49,15403,3,2,9,Rabat,Kamra,À rénover,25,"Chauffage, Climatisation, Garage, Jardin, Placard, Sécurité, Terrasse","Appartement de 49m² situé à Kamra, Rabat",2025-07-23
MA-CAS-65542,Maison,Vente,2039206,182,11204,5,1,0,Casablanca,California,Bon état,23,"Balcon, Chauffage, Concierge, Cuisine équipée, Jardin, Piscine, Placard",Magnifique maison en bon état à California,2025-07-21
MA-MEK-57756,Appartement,Vente,907814,83,10937,5,1,2,Meknès,Ville Nouvelle,Très bon état,37,"Cave, Cuisine équipée, Jardin, Vue montagne",Appartement moderne de 83m² à Meknès,2025-08-29
MA-CAS-63837,Villa,Vente,7804515,313,24934,6,3,0,Casablanca,Hay Mohammadi,À rénover,29,"Balcon, Climatisation, Cuisine équipée, Jardin, Parking, Piscine, Vue mer",Villa moderne de 313m² à Casablanca,2025-07-29
MA-AGA-17250,Studio,Vente,531982,44,12090,1,1,10,Agadir,Tikiouine,Bon état,26,"Balcon, Cuisine équipée, Parking, Piscine, Placard, Sécurité",Magnifique studio en bon état à Tikiouine,2025-07-29
MA-AGA-78727,Appartement,Location,492292,40,12307,5,2,1,Agadir,Secteur Touristique,Bon état,0,"Balcon, Chauffage, Concierge, Cuisine équipée, Vue mer",Appartement moderne de 40m² à Agadir,2025-08-10
MA-CAS-52425,Appartement,Vente,471618,45,10480,1,2,5,Casablanca,Bourgogne,Excellent état,39,"Cave, Chauffage, Climatisation, Garage, Placard, Sécurité, Vue montagne",Beau appartement dans le quartier recherché de Bourgogne,2025-11-01
MA-FÈS-50068,Appartement,Location vacances,1387968,100,13879,4,2,6,Fès,Agdal,Excellent état,34,"Ascenseur, Balcon, Concierge, Garage, Jardin, Piscine, Terrasse",Magnifique appartement en excellent état à Agdal,2025-08-08
MA-CAS-13513,Villa,Vente,9708410,595,16316,8,2,0,Casablanca,Gauthier,Neuf,0,"Balcon, Sécurité, Vue mer, Vue montagne",Villa spacieux avec 8 chambres à Casablanca,2025-12-22
MA-MEK-25709,Appartement,Location,1725481,171,10090,5,1,12,Meknès,Marjane,À rénover,12,"Ascenseur, Balcon, Cave, Garage, Jardin, Placard, Sécurité, Vue mer",Appartement moderne de 171m² à Meknès,2025-10-16
MA-MAR-53502,Appartement,Vente,2248529,148,15192,3,2,3,Marrakech,Gueliz,Excellent état,32,"Balcon, Cave, Chauffage, Concierge, Placard, Vue mer",Appartement moderne de 148m² à Marrakech,2025-11-25
MA-RAB-93693,Villa,Vente,10677196,522,20454,5,4,0,Rabat,Medina,Neuf,4,"Ascenseur, Concierge, Cuisine équipée, Parking, Piscine, Placard, Sécurité","Villa de 522m² situé à Medina, Rabat",2025-11-08
MA-TÉT-13795,Appartement,Vente,651790,56,11639,2,1,3,Tétouan,Centre Ville,Excellent état,21,"Ascenseur, Chauffage, Climatisation, Concierge, Parking",Appartement spacieux avec 2 chambres à Tétouan,2025-12-14
MA-SAL-54270,Villa,Vente,3890786,316,12312,6,2,0,Salé,Hay Rahma,Neuf,18,"Cave, Chauffage, Climatisation, Garage, Piscine, Placard, Terrasse, Vue montagne",Villa spacieux avec 6 chambres à Salé,2025-07-12
MA-TÉT-45911,Villa,Location,4742346,415,11427,6,2,0,Tétouan,Centre Ville,À rénover,12,"Balcon, Cuisine équipée, Placard, Vue montagne",Villa spacieux avec 6 chambres à Tétouan,2025-10-09
MA-CAS-61007,Villa,Location vacances,10030229,568,17658,6,2,0,Casablanca,Palmier,Très bon état,40,"Ascenseur, Balcon, Chauffage, Garage, Sécurité, Vue montagne",Villa spacieux avec 6 chambres à Casablanca,2025-10-10
MA-OUJ-31018,Villa,Location,7114305,403,17653,4,3,0,Oujda,Medina,Bon état,0,"Cave, Chauffage, Climatisation, Concierge, Cuisine équipée, Garage, Parking, Vue mer","Villa de 403m² situé à Medina, Oujda",2025-08-31
MA-TÉT-27413,Appartement,Vente,628446,59,10651,1,1,2,Tétouan,Boukhalef,À rénover,10,"Balcon, Concierge, Cuisine équipée, Jardin, Piscine, Placard, Sécurité, Terrasse",Appartement moderne de 59m² à Tétouan,2025-09-23
MA-AGA-33066,Appartement,Vente,2397422,180,13319,5,2,12,Agadir,Sonaba,Bon état,21,"Ascenseur, Cave, Cuisine équipée, Sécurité, Vue montagne",Beau appartement dans le quartier recherché de Sonaba,2025-09-04
MA-MAR-94521,Appartement,Location,590516,45,13122,2,1,0,Marrakech,Palmeraie,Excellent état,32,"Balcon, Cave, Chauffage, Concierge, Garage, Parking, Piscine","Appartement de 45m² situé à Palmeraie, Marrakech",2025-12-24
MA-RAB-46864,Duplex,Vente,3100084,159,19497,4,2,2,Rabat,Hassan,Neuf,22,"Ascenseur, Cuisine équipée, Garage, Jardin, Parking, Piscine, Terrasse, Vue montagne",Duplex moderne de 159m² à Rabat,2025-08-13
MA-OUJ-25724,Appartement,Vente,1245688,167,7459,1,2,11,Oujda,Sidi Maâfa,Bon état,15,"Cave, Climatisation, Garage, Piscine, Sécurité, Terrasse, Vue mer, Vue montagne",Magnifique appartement en bon état à Sidi Maâfa,2025-07-25
MA-TAN-33378,Villa,Vente,6287734,544,11558,4,3,0,Tanger,Gzenaya,Très bon état,13,"Ascenseur, Climatisation, Concierge, Garage, Sécurité, Terrasse, Vue montagne",Villa moderne de 544m² à Tanger,2025-11-15
MA-FÈS-20276,Appartement,Vente,794461,87,9131,2,1,11,Fès,Zouagha,Bon état,8,"Cave, Chauffage, Climatisation, Concierge, Cuisine équipée, Placard, Terrasse, Vue montagne",Appartement spacieux avec 2 chambres à Fès,2025-11-21
MA-RAB-48670,Appartement,Location,870628,47,18524,3,1,8,Rabat,Souissi,Neuf,31,"Balcon, Cave, Chauffage, Cuisine équipée, Piscine, Sécurité, Terrasse, Vue montagne",Appartement moderne de 47m² à Rabat,2025-11-27
MA-OUJ-20982,Maison,Location,1388701,205,6774,2,2,0,Oujda,Hay Hassani,Excellent état,35,"Cave, Concierge, Garage, Sécurité",Maison spacieux avec 2 chambres à Oujda,2025-09-08
MA-RAB-25533,Riad,Vente,11279205,436,25869,10,3,0,Rabat,Souissi,À rénover,22,"Balcon, Cave, Concierge, Garage, Jardin, Parking, Piscine, Sécurité","Riad de 436m² situé à Souissi, Rabat",2025-08-14
MA-MAR-97150,Studio,Vente,917720,47,19525,1,1,11,Marrakech,Daoudiat,À rénover,15,"Ascenseur, Cave, Parking, Placard, Vue montagne",Magnifique studio en à rénover à Daoudiat,2025-09-09
MA-CAS-95746,Maison,Location,3328149,233,14283,6,2,0,Casablanca,Palmier,À rénover,15,"Ascenseur, Climatisation, Jardin, Parking, Placard","Maison de 233m² situé à Palmier, Casablanca",2025-07-24
MA-FÈS-53498,Maison,Vente,1383639,103,13433,3,1,0,Fès,Saiss,À rénover,27,"Cave, Placard, Vue mer",Magnifique maison en à rénover à Saiss,2025-10-11
MA-CAS-16832,Appartement,Location,1989329,125,15914,4,2,12,Casablanca,Maarif,À rénover,17,"Balcon, Chauffage, Jardin, Piscine, Placard, Terrasse","Appartement de 125m² situé à Maarif, Casablanca",2025-10-31
MA-RAB-29257,Appartement,Vente,2194528,245,8957,4,2,11,Rabat,Aviation,Bon état,31,"Chauffage, Climatisation, Cuisine équipée, Jardin, Piscine, Terrasse","Appartement de 245m² situé à Aviation, Rabat",2025-08-11
MA-CAS-12270,Appartement,Vente,1635577,181,9036,2,2,8,Casablanca,Maarif,Excellent état,17,"Balcon, Garage, Parking",Appartement spacieux avec 2 chambres à Casablanca,2025-08-29
MA-MEK-77264,Appartement,Vente,1410107,147,9592,4,1,9,Meknès,Marjane,Très bon état,38,"Ascenseur, Chauffage, Concierge, Terrasse, Vue mer, Vue montagne",Beau appartement dans le quartier recherché de Marjane,2025-07-24
MA-KEN-23928,Appartement,Location vacances,2103767,215,9784,4,1,0,Kenitra,Hay Essalam,Bon état,33,"Cuisine équipée, Jardin, Vue montagne",Appartement moderne de 215m² à Kenitra,2025-11-29
MA-MEK-76922,Appartement,Location vacances,2378862,177,13439,5,2,6,Meknès,Ville Nouvelle,Neuf,6,"Balcon, Climatisation, Concierge, Cuisine équipée, Vue mer",Appartement spacieux avec 5 chambres à Meknès,2025-11-04
MA-RAB-44014,Appartement,Location,3831185,246,15573,4,2,1,Rabat,Souissi,Excellent état,7,"Ascenseur, Balcon, Cuisine équipée, Parking, Sécurité, Vue montagne",Magnifique appartement en excellent état à Souissi,2025-10-29
MA-RAB-63425,Villa,Vente,4862090,216,22509,4,4,0,Rabat,Kamra,À rénover,16,"Ascenseur, Cave, Placard, Terrasse, Vue mer",Villa spacieux avec 4 chambres à Rabat,2025-08-02
MA-RAB-19378,Villa,Location,5918454,299,19794,5,3,0,Rabat,Agdal,À rénover,23,"Ascenseur, Parking, Placard, Terrasse",Villa spacieux avec 5 chambres à Rabat,2025-11-05
MA-CAS-52100,Appartement,Vente,3417331,210,16273,1,2,0,Casablanca,Gauthier,Très bon état,26,"Balcon, Cave, Chauffage, Cuisine équipée, Garage, Vue mer",Appartement spacieux avec 1 chambres à Casablanca,2025-07-11
MA-MEK-83732,Studio,Vente,303087,39,7771,1,1,7,Meknès,Mansour,Bon état,14,"Ascenseur, Cave, Climatisation",Studio spacieux avec 1 chambres à Meknès,2025-09-13
MA-AGA-93227,Maison,Location,3157111,292,10812,5,1,0,Agadir,Tikiouine,Excellent état,17,"Cave, Chauffage, Parking, Terrasse, Vue mer",Maison moderne de 292m² à Agadir,2025-08-18
MA-MAR-48820,Duplex,Vente,1554816,102,15243,4,1,2,Marrakech,Daoudiat,Bon état,8,"Balcon, Climatisation, Concierge, Terrasse, Vue mer, Vue montagne",Beau duplex dans le quartier recherché de Daoudiat,2025-12-05
MA-FÈS-79134,Villa,Vente,5434443,361,15053,4,4,0,Fès,Narjiss,À rénover,12,"Jardin, Placard, Vue montagne",Villa spacieux avec 4 chambres à Fès,2025-11-11
MA-FÈS-88483,Appartement,Location,2650688,249,10645,3,1,3,Fès,Atlas,Bon état,28,"Ascenseur, Cave, Climatisation, Jardin, Placard",Beau appartement dans le quartier recherché de Atlas,2025-07-16
MA-CAS-53682,Appartement,Location,2105493,239,8809,2,2,0,Casablanca,Ain Diab,Très bon état,2,"Chauffage, Climatisation, Concierge, Piscine, Sécurité",Appartement spacieux avec 2 chambres à Casablanca,2025-08-15
MA-AGA-75424,Riad,Location,7168148,268,26746,6,2,0,Agadir,Tikiouine,Neuf,15,"Ascenseur, Balcon, Garage, Piscine, Placard, Sécurité",Magnifique riad en neuf à Tikiouine,2025-09-26
MA-TAN-56140,Studio,Vente,364655,31,11763,1,1,12,Tanger,Ibn Batouta,Excellent état,6,"Concierge, Cuisine équipée, Garage",Studio moderne de 31m² à Tanger,2025-11-25
MA-KEN-64171,Appartement,Vente,2048399,184,11132,3,1,11,Kenitra,Lalla Mimouna,Neuf,25,"Ascenseur, Cave, Chauffage, Cuisine équipée, Parking, Piscine, Placard, Vue montagne",Magnifique appartement en neuf à Lalla Mimouna,2025-09-19
MA-AGA-98805,Maison,Location vacances,3439110,246,13980,5,1,0,Agadir,Hay Dakhla,Très bon état,0,"Cave, Concierge, Cuisine équipée, Garage, Jardin, Placard, Vue mer",Beau maison dans le quartier recherché de Hay Dakhla,2025-11-15
MA-FÈS-95332,Villa,Vente,4025751,267,15077,7,2,0,Fès,Medina,Neuf,5,"Ascenseur, Cave, Sécurité",Villa moderne de 267m² à Fès,2025-10-27
MA-MAR-78791,Villa,Location vacances,13278247,474,28013,6,4,0,Marrakech,Daoudiat,Neuf,6,"Balcon, Cave, Chauffage, Cuisine équipée, Garage, Placard, Terrasse, Vue mer",Beau villa dans le quartier recherché de Daoudiat,2025-09-28
MA-SAL-49674,Studio,Vente,324967,25,12998,1,1,9,Salé,Hay Salam,Bon état,15,"Balcon, Climatisation, Jardin, Placard, Terrasse",Beau studio dans le quartier recherché de Hay Salam,2025-08-31
MA-MAR-66937,Maison,Vente,2399216,168,14281,4,1,0,Marrakech,Sidi Youssef Ben Ali,À rénover,31,"Chauffage, Climatisation, Garage, Jardin, Parking, Placard, Vue montagne",Maison moderne de 168m² à Marrakech,2025-07-07
